订单交易时间,订单编号,订单来源,用户ID,会员,首次下单用户,性别,品类,商品单价,购买数量,活动优惠,换货,退货,已评价
2023-01-06,KXCS1821047,店铺下单,NH410497,否,否,女,C,79,1,无,0,0,1
2023-01-06,PUVU3753768,直播下单,FX822468,否,是,女,A,119,1,无,0,0,0
2023-01-06,ETLB2800380,直播下单,OP614925,是,否,女,A,119,1,无,0,0,1
2023-01-06,CGMQ2993413,店铺下单,TL992330,否,是,女,A,119,1,无,0,0,0
2023-01-07,STNV9503553,店铺下单,VF613761,是,否,女,B,199,1,无,0,0,1
2023-01-07,DIKZ5040330,直播下单,CB438920,否,是,男,A,119,1,无,0,0,1
2023-01-07,MTFM7852284,店铺下单,TO423307,否,是,男,A,119,1,无,1,0,1
2023-01-07,XXZY2341491,店铺下单,DJ879521,是,否,女,A,119,1,无,0,0,1
2023-01-07,GCMS9297013,店铺下单,RS11945,否,否,女,B,199,1,无,0,0,1
2023-01-07,JXGC1784005,店铺下单,OV934138,是,否,女,A,119,2,无,0,0,0
2023-01-07,YCLN3025734,店铺下单,MQ534802,否,否,女,B,199,1,无,0,0,1
2023-01-07,NVLQ6869059,直播下单,GX295313,是,否,女,A,119,2,无,0,0,1
2023-01-07,IGRM1088884,店铺下单,FQ837467,是,否,男,B,199,1,无,0,0,1
2023-01-08,TAML8568924,直播下单,IF975103,否,是,女,D,59,1,无,0,0,1
2023-01-08,GKYE6156446,直播下单,CT709887,否,是,女,D,59,1,无,0,0,1
2023-01-08,AEQO5111474,店铺下单,IV538001,否,是,女,A,119,1,无,0,0,0
2023-01-08,VVUI5959504,店铺下单,LF868381,是,否,男,A,119,1,无,0,0,1
2023-01-08,SSOU7445304,店铺下单,TR127450,是,否,男,A,119,1,无,0,0,0
2023-01-08,WZLR9949027,店铺下单,UB547028,是,否,女,C,79,1,无,0,0,0
2023-01-08,KQRD126278,直播下单,BN464937,否,否,男,A,119,1,无,0,0,1
2023-01-08,JDUY2490644,直播下单,QP218509,否,是,女,B,199,1,无,0,1,0
2023-01-08,WTFB7624421,店铺下单,MG402763,是,否,男,D,59,2,无,0,0,1
2023-01-09,BFZN6208041,店铺下单,FY216275,否,是,女,B,199,1,有,0,0,0
2023-01-09,ZUCO1711103,直播下单,WL367719,否,是,男,A,119,1,无,0,0,1
2023-01-09,VWAR4856055,店铺下单,JK724265,否,是,男,B,199,2,无,0,0,1
2023-01-09,FVEQ699707,店铺下单,DB702949,是,否,女,B,199,1,无,0,0,1
2023-01-09,BGMF3551451,店铺下单,NO781932,是,否,男,B,199,1,无,0,0,0
2023-01-09,EVRY1662507,店铺下单,WY392906,是,否,女,A,119,2,无,0,0,1
2023-01-10,MZCN9265220,店铺下单,XL39145,否,是,男,D,59,1,无,0,0,1
2023-01-10,YAQC227227,店铺下单,VK779257,否,是,男,A,119,1,无,0,0,0
2023-01-10,HFZI7129789,店铺下单,MU665458,是,否,女,A,119,1,有,0,0,0
2023-01-10,QYRD8981158,店铺下单,GX25372,否,是,女,C,79,1,无,0,0,0
2023-01-10,ASRE9693418,店铺下单,OK558924,是,否,男,A,119,1,无,0,0,1
2023-01-10,BAXX9235290,店铺下单,YA122956,否,否,男,C,79,1,无,0,0,1
2023-01-10,YAZE9824454,店铺下单,WF405365,否,否,女,A,119,1,有,0,0,1
2023-01-10,EGEX7660148,店铺下单,PQ233147,是,否,女,A,119,1,无,0,0,1
2023-01-10,YVTH5210102,直播下单,SK382111,是,否,女,D,59,1,无,0,0,0
2023-01-11,ESJX5200964,店铺下单,OI341295,是,否,女,B,199,1,有,0,0,1
2023-01-11,SLMR9656155,直播下单,ST371407,是,否,女,A,119,1,无,0,0,0
2023-01-11,ORGG8371366,店铺下单,CH114060,是,否,女,C,79,1,无,0,0,1
2023-01-11,SAPX4773701,直播下单,KO755178,是,否,男,D,59,2,无,0,0,1
2023-01-11,MLYG8621196,直播下单,FY737362,否,否,女,B,199,1,无,0,0,0
2023-01-11,SGNV5524887,直播下单,YG209131,是,否,女,C,79,1,无,0,0,1
2023-01-11,DTIT878471,直播下单,DA598458,否,是,女,A,119,2,无,0,0,1
2023-01-11,IYFV3806058,店铺下单,JV894741,否,否,女,A,119,1,有,0,0,0
2023-01-11,MEOP5775474,店铺下单,FX930450,否,否,女,B,199,1,有,0,0,1
2023-01-12,ZRZQ9794962,直播下单,BM188861,是,否,女,B,199,1,无,0,0,0
2023-01-12,PLGC5249474,直播下单,NA902330,是,否,女,C,79,1,无,0,0,0
2023-01-12,XCKS1950948,店铺下单,FM942031,是,否,女,A,119,1,无,0,0,0
2023-01-12,OSPV1777549,直播下单,JG18549,是,否,女,A,119,1,无,0,0,1
2023-01-12,UHCO7640745,店铺下单,YJ21353,否,否,女,C,79,1,无,0,0,0
2023-01-12,PDKE9629070,店铺下单,EE947614,是,否,女,B,199,1,无,0,0,1
2023-01-12,NZFT1389716,直播下单,IQ858068,是,否,男,D,59,1,无,0,0,1
2023-01-12,YQIZ6670396,店铺下单,XT769649,是,否,女,C,79,1,无,0,0,1
2023-01-12,FVKO9210489,直播下单,UW333595,否,是,女,B,199,1,无,0,0,0
2023-01-12,PAMN1559515,直播下单,EF469347,是,否,女,B,199,1,无,0,0,1
2023-01-12,VTTR1206000,店铺下单,XT885185,否,是,男,A,119,1,无,0,0,1
2023-01-12,IRKH43135,店铺下单,RS972138,否,否,女,A,119,1,无,0,0,0
2023-01-13,UMPN3158322,店铺下单,BX960540,否,是,女,B,199,1,无,0,0,0
2023-01-13,EETP2889605,直播下单,CL416202,否,否,男,A,119,1,有,0,0,1
2023-01-13,DTDO1960894,店铺下单,VI821922,否,是,女,D,59,1,无,0,0,1
2023-01-13,ERKT4262363,直播下单,LX713221,是,否,男,C,79,1,无,0,0,1
2023-01-13,ZUTT7420904,店铺下单,YU614965,否,是,女,D,59,2,无,0,0,1
2023-01-13,PSXV368939,店铺下单,HB368926,是,否,男,D,59,2,无,0,0,1
2023-01-13,WKEQ8567882,店铺下单,EV649854,是,否,女,A,119,1,无,0,0,1
2023-01-13,PJYZ6701538,店铺下单,SQ14796,是,否,女,C,79,1,无,0,0,1
2023-01-14,DLDT499553,店铺下单,TC546605,是,否,男,D,59,2,无,0,0,1
2023-01-14,LWAZ9331019,直播下单,XV453121,否,否,女,A,119,1,无,0,0,0
2023-01-14,AKQU3896288,直播下单,FQ891573,是,否,女,A,119,1,无,0,0,0
2023-01-14,TXKJ7941288,店铺下单,LT208057,是,否,女,B,199,1,无,0,0,1
2023-01-14,GTWY9447472,直播下单,DB887176,否,是,女,A,119,1,无,0,0,1
2023-01-14,JBKQ9909878,店铺下单,UK999975,否,是,女,A,119,1,无,1,0,1
2023-01-15,GQJR4374241,店铺下单,HL1023,是,否,女,C,79,1,无,0,0,1
2023-01-15,HBZB8517863,直播下单,IP547279,是,否,女,D,59,1,有,0,0,1
2023-01-15,CLRN512610,店铺下单,JC991233,否,否,男,C,79,1,无,0,0,1
2023-01-15,TPFM9835837,店铺下单,VN380790,否,是,男,C,79,1,无,0,0,0
2023-01-15,DQJC4210963,直播下单,FO294594,否,是,女,C,79,1,无,0,0,1
2023-01-15,MMZO7143565,店铺下单,JK377399,否,是,女,D,59,1,无,0,0,0
2023-01-15,YRDQ9859938,店铺下单,LI33632,否,是,女,D,59,1,无,0,0,1
2023-01-15,WWFB8165199,店铺下单,LV498833,否,否,男,D,59,1,无,0,0,1
2023-01-15,CCXE7468397,店铺下单,WZ69114,否,是,女,D,59,1,无,0,0,1
2023-01-16,OMAR5262087,店铺下单,DD7306,否,是,女,A,119,1,无,0,0,1
2023-01-16,VZLG8224765,店铺下单,YK984084,是,否,男,A,119,1,无,0,1,1
2023-01-16,SXMU3487322,店铺下单,XN615931,是,否,女,B,199,1,无,0,0,1
2023-01-16,VCZN3229482,店铺下单,DQ161496,是,否,男,C,79,1,无,0,0,1
2023-01-16,RVXK8731433,店铺下单,GL832493,否,是,女,B,199,4,无,0,0,1
2023-01-16,AYJV9721894,店铺下单,MO272259,是,否,女,B,199,1,无,0,0,0
2023-01-16,DAAK8781072,店铺下单,RS469845,否,否,女,B,199,1,无,0,0,1
2023-01-16,ELBV2043928,店铺下单,GG360452,否,是,女,A,119,1,无,0,0,1
2023-01-16,CFMU70441,店铺下单,RE292477,否,否,女,D,59,1,无,0,0,0
2023-01-16,NBJG7547695,直播下单,XF288241,否,是,女,D,59,2,无,0,0,1
2023-01-16,WYLY622657,直播下单,HJ674372,否,是,女,D,59,1,无,0,0,0
2023-01-17,ZFUD7030934,店铺下单,NH327534,否,是,男,C,79,1,无,0,0,1
2023-01-17,SFQB4322092,店铺下单,QI777287,是,否,女,B,199,1,有,0,0,1
2023-01-17,FBJI9656227,店铺下单,AG84815,是,否,女,C,79,3,无,0,0,0
2023-01-17,VJMC8355587,直播下单,XE486882,是,否,女,A,119,1,无,0,0,0
2023-01-17,DBDC935566,店铺下单,SX764685,否,是,男,D,59,1,无,0,0,1
2023-01-17,ZZWX3325023,店铺下单,BH475404,是,否,女,C,79,1,无,0,0,1
2023-01-17,BDRN8991720,店铺下单,NH490380,否,是,女,C,79,1,无,0,1,0
2023-01-17,MHUY9261326,直播下单,GA113065,否,否,女,D,59,1,无,0,1,1
2023-01-18,LWCM8945137,店铺下单,GB944863,是,否,女,D,59,1,无,0,0,1
2023-01-18,LKHJ4821987,店铺下单,ET683451,是,否,女,A,119,1,无,0,0,0
2023-01-18,MNSJ1873361,直播下单,BK650676,否,否,女,C,79,1,无,0,0,1
2023-01-18,LAOE1291313,店铺下单,AU892111,否,是,男,A,119,1,有,0,0,1
2023-01-18,WEXX8907603,店铺下单,OS191606,是,否,女,A,119,1,无,0,0,1
2023-01-18,ZMGP7352765,店铺下单,XG60208,否,否,女,C,79,1,无,0,1,1
2023-01-18,JNGC3575912,店铺下单,WB80300,是,否,女,D,59,1,无,0,0,1
2023-01-18,CKYW7480714,店铺下单,FX106301,否,是,女,D,59,1,无,0,0,1
2023-01-18,TDUD8623109,店铺下单,RU773846,否,否,男,A,119,1,无,0,0,1
2023-01-18,TQBM7666032,店铺下单,GF525083,是,否,男,A,119,1,无,0,1,1
2023-01-18,ARQD6556723,直播下单,OU584584,否,是,女,D,59,1,无,0,0,1
2023-01-18,HUKP4520842,店铺下单,DN802052,否,是,男,A,119,1,无,0,0,1
2023-01-18,UZRF6137687,店铺下单,RQ691263,否,否,男,D,59,1,无,0,0,1
2023-01-18,IJRT7040497,直播下单,PZ112363,否,是,女,D,59,1,无,0,0,1
2023-01-19,YPSL9556299,店铺下单,XT769649,否,是,女,A,119,1,无,0,0,1
2023-01-19,UPFT4097739,店铺下单,IB213295,是,否,女,A,119,1,无,0,0,1
2023-01-19,EWSG7034943,直播下单,IX118717,是,否,女,D,59,1,无,0,0,1
2023-01-19,OFIN2146130,店铺下单,BB425917,是,否,男,D,59,1,无,0,0,1
2023-01-19,AZQF8686140,店铺下单,WS783706,否,是,女,C,79,1,无,0,0,0
2023-01-19,GHOJ3121817,直播下单,CY387404,否,否,女,B,199,2,无,0,0,0
2023-01-19,OLOM6971973,店铺下单,HM358586,否,否,女,B,199,1,无,0,0,1
2023-01-20,SCIP3409553,店铺下单,LI486174,否,是,女,D,59,1,无,0,0,1
2023-01-20,MZJF732952,直播下单,JS56769,否,是,女,A,119,1,无,0,0,0
2023-01-20,AUVP5552215,直播下单,CU414136,否,是,女,A,119,1,无,0,0,1
2023-01-20,EWXP184618,店铺下单,DN377708,否,是,男,D,59,1,无,0,0,1
2023-01-20,KFCK5006511,直播下单,SH417799,否,是,女,A,119,1,无,0,0,1
2023-01-20,CCCE4258653,店铺下单,DD722164,是,否,女,A,119,1,有,0,0,1
2023-01-20,EUCU7445607,店铺下单,FG757502,是,否,女,C,79,1,无,0,0,0
2023-01-21,EINT1227576,店铺下单,GG736726,是,否,男,A,119,1,无,0,0,1
2023-01-21,QXBE6834580,直播下单,NL197887,是,否,女,D,59,1,无,0,1,0
2023-01-21,NMGS5525804,店铺下单,DB948249,否,是,女,A,119,1,有,0,0,0
2023-01-21,AVRD6763511,直播下单,LL332971,否,否,男,A,119,1,无,0,0,0
2023-01-21,BNUB9017918,直播下单,FU194046,否,是,女,B,199,1,无,0,0,0
2023-01-21,DBYH8030729,店铺下单,WI339972,否,是,男,A,119,1,无,0,0,1
2023-01-21,CYPQ7855396,店铺下单,DJ879521,否,否,女,A,119,1,无,0,0,0
2023-01-21,CZAC6455156,店铺下单,LG338334,否,是,女,D,59,1,无,0,1,0
2023-01-21,OENH8120927,直播下单,IW828438,否,是,女,C,79,1,无,0,0,0
2023-01-21,AKST8808124,直播下单,LU297759,否,是,女,B,199,1,无,0,1,1
2023-01-21,RPRV2001500,店铺下单,BI563286,是,否,女,D,59,1,无,0,0,1
2023-01-21,RMCQ4006839,店铺下单,LI617510,是,否,女,A,119,1,无,0,0,1
2023-01-21,XLBH1965677,直播下单,AK954689,否,是,女,A,119,1,无,0,0,1
2023-01-21,XMRF6146401,直播下单,BS419906,否,是,女,A,119,1,有,0,0,1
2023-01-22,KORJ1222720,店铺下单,QB325243,否,否,女,D,59,1,无,0,0,1
2023-01-22,MTNX2910485,店铺下单,YK112724,是,否,女,B,199,1,无,0,0,0
2023-01-22,MHRV6719568,店铺下单,MQ748215,是,否,女,C,79,1,无,0,0,0
2023-01-22,WECF4674800,直播下单,SR691588,否,是,女,B,199,1,有,0,0,0
2023-01-22,AMBA8106562,直播下单,QD186631,否,否,女,D,59,1,有,0,0,1
2023-01-22,GJOP6978289,直播下单,GH269658,是,否,女,A,119,2,无,0,0,1
2023-01-22,IKTV8462224,店铺下单,GF525083,否,是,女,A,119,1,无,0,0,1
2023-01-23,UAMZ3253879,店铺下单,RC825532,是,否,女,D,59,1,无,0,0,1
2023-01-23,ZGUS7474805,店铺下单,DM27074,否,否,女,C,79,1,无,0,0,1
2023-01-23,BHGT4180362,直播下单,NN808516,否,是,女,C,79,1,无,0,1,1
2023-01-23,HNIS7117740,直播下单,QC954257,否,否,女,B,199,1,有,0,0,1
2023-01-23,JQNT6826908,店铺下单,ZS223058,是,否,女,B,199,1,无,0,0,1
2023-01-23,NOBG2698929,店铺下单,FR967917,是,否,女,A,119,1,无,0,1,1
2023-01-24,UNQO8292965,店铺下单,PQ595450,否,否,男,D,59,1,无,0,0,1
2023-01-24,KHID7624294,直播下单,YL174795,是,否,女,A,119,1,无,0,0,1
2023-01-24,KUOK8278833,直播下单,UI351885,是,否,女,D,59,4,无,0,0,0
2023-01-24,CBHD5364436,店铺下单,GK301669,否,是,女,B,199,2,无,0,1,0
2023-01-24,OICO556600,店铺下单,PN832340,否,否,女,A,119,1,无,0,0,1
2023-01-24,ZFOV9756513,直播下单,EF630330,是,否,男,C,79,1,无,0,0,0
2023-01-24,UCEA9664458,店铺下单,YI495674,是,否,女,D,59,1,无,0,0,1
2023-01-24,RSOW302322,直播下单,SB976454,否,是,女,A,119,1,无,0,0,0
2023-01-24,GLER6874711,直播下单,PY16405,否,否,男,D,59,1,无,0,0,0
2023-01-24,WBOG9907071,店铺下单,DQ204995,否,是,女,A,119,2,无,0,0,1
2023-01-25,ZHQN5714268,店铺下单,OC533300,是,否,女,A,119,1,有,0,0,0
2023-01-25,TOCD5911639,店铺下单,AE504999,否,是,女,B,199,1,有,0,0,1
2023-01-25,RRZM7416461,店铺下单,OJ84138,是,否,女,A,119,2,无,0,0,1
2023-01-25,JFTH9445960,店铺下单,AA327386,否,是,女,A,119,1,无,0,0,1
2023-01-25,AEST9938048,店铺下单,CF282065,否,是,女,D,59,1,无,0,0,1
2023-01-25,YMKI6777626,直播下单,VT545275,是,否,女,A,119,1,无,0,0,0
2023-01-25,QCBP89543,店铺下单,RS93470,否,是,女,C,79,1,无,0,0,1
2023-01-25,XOMG3940282,店铺下单,VD835891,是,否,女,A,119,2,无,0,0,1
2023-01-25,WZII5667677,直播下单,SS641811,否,否,女,C,79,1,无,0,1,0
2023-01-26,WNQB5473361,直播下单,IQ739729,否,是,女,A,119,1,无,0,0,1
2023-01-26,SDRX2284681,店铺下单,ME721397,是,否,女,A,119,1,无,0,0,1
2023-01-26,IFLR664688,店铺下单,VN432605,否,是,男,C,79,1,无,0,0,1
2023-01-26,PSWR3498866,店铺下单,RD211070,否,否,女,A,119,1,无,0,1,1
2023-01-26,ESTH2507723,店铺下单,DQ161496,否,是,女,A,119,1,无,0,0,1
2023-01-26,WZUR3956843,店铺下单,JM688695,否,是,女,C,79,1,无,0,0,0
2023-01-26,VCOA1919475,店铺下单,WY392906,是,否,女,A,119,1,无,0,0,1
2023-01-26,EBFF9888599,店铺下单,HI676846,否,否,女,C,79,1,无,0,0,1
2023-01-26,XARX2288748,店铺下单,GP882051,否,否,男,B,199,1,无,0,0,1
2023-01-27,SKOJ9910308,直播下单,MN986511,否,否,女,A,119,1,无,0,0,1
2023-01-27,AEPN3776749,店铺下单,RA523636,否,否,女,A,119,1,无,0,0,1
2023-01-27,GJAQ1149345,店铺下单,KN345879,是,否,女,D,59,1,有,0,0,0
2023-01-27,NMVL3481427,店铺下单,BT680645,否,是,女,B,199,1,无,0,0,1
2023-01-27,PPNQ9115254,店铺下单,EO785385,否,是,女,A,119,1,无,0,0,0
2023-01-27,PETP7022745,店铺下单,LX158612,否,是,女,A,119,1,无,0,0,1
2023-01-27,HKQS5264325,店铺下单,OI341295,否,是,女,A,119,1,无,0,0,1
2023-01-27,BGTF5791871,店铺下单,CB511630,是,否,女,A,119,1,无,0,0,1
2023-01-27,OHNC2655179,店铺下单,CZ734515,否,是,女,A,119,1,无,0,0,1
2023-01-27,QKSL7371945,店铺下单,EO757890,是,否,女,D,59,1,有,0,0,1
2023-01-27,ELOO5906445,直播下单,YI19886,否,否,男,A,119,1,无,0,0,0
2023-01-27,SPDK24226,直播下单,TA481256,否,否,女,A,119,1,无,0,0,1
2023-01-27,BRKV4639766,店铺下单,DM742141,否,是,女,C,79,2,无,0,0,1
2023-01-27,IGGU6265341,直播下单,MG402763,是,否,女,C,79,1,无,0,0,0
2023-01-27,YVJO965202,店铺下单,SC41515,否,是,男,C,79,1,无,0,0,1
2023-01-28,IAED2394073,店铺下单,DK501607,否,否,女,D,59,1,无,0,0,1
2023-01-28,UJKI5169669,店铺下单,XS293411,否,是,女,B,199,1,无,0,0,1
2023-01-28,KKFY2551403,店铺下单,NR433352,否,是,女,A,119,1,无,1,0,1
2023-01-28,XNPD1010286,店铺下单,VB793018,否,是,女,A,119,1,有,0,0,1
2023-01-28,XBBY4545404,店铺下单,OL643370,是,否,女,B,199,4,无,0,0,1
2023-01-28,VDMN7077804,直播下单,XQ112980,否,否,女,A,119,1,无,0,0,1
2023-01-28,EXVP314059,直播下单,LW494712,否,否,女,C,79,1,无,0,0,0
2023-01-28,OQMF1259954,直播下单,XN615931,是,否,女,D,59,1,无,0,0,0
2023-01-28,DKPU517129,店铺下单,OX375718,是,否,女,A,119,1,无,0,0,1
2023-01-29,PKTU9108014,店铺下单,MC824287,是,否,男,B,199,1,无,0,0,1
2023-01-29,GONI9933503,直播下单,AA221148,否,是,女,D,59,1,无,0,0,1
2023-01-29,FJGT2573470,店铺下单,QF95390,是,否,女,A,119,1,无,0,0,0
2023-01-29,XGAF811811,店铺下单,DD722164,否,是,男,A,119,2,无,0,0,1
2023-01-29,ZOAG4878532,店铺下单,XE391865,是,否,女,D,59,1,无,0,0,0
2023-01-29,JYEK1949442,直播下单,IP749845,否,否,女,B,199,1,无,0,0,1
2023-01-29,ZTWW5220071,店铺下单,RP810594,是,否,女,D,59,1,无,0,0,1
2023-01-30,IUOD4947092,直播下单,PD511116,否,是,女,B,199,1,无,0,0,1
2023-01-30,NBFT9173104,直播下单,VE996627,是,否,男,A,119,1,无,0,0,1
2023-01-30,XJGZ2515001,直播下单,CA169761,否,否,女,A,119,1,无,0,0,0
2023-01-30,XEWF8549675,店铺下单,VL57511,是,否,女,A,119,1,无,0,0,0
2023-01-30,FQTJ7527040,店铺下单,YF553255,否,是,女,B,199,1,无,0,0,1
2023-01-30,NVYD1006648,直播下单,JD180853,是,否,女,D,59,2,无,0,0,1
2023-01-30,XXUP5848860,直播下单,RJ197680,否,否,女,B,199,1,无,0,0,0
2023-01-30,YCJQ9614730,店铺下单,MG549502,否,是,女,C,79,1,无,0,0,0
2023-01-30,BQVB7431905,店铺下单,YA381656,是,否,女,B,199,1,无,0,1,1
2023-01-30,PPLX8120202,店铺下单,CR104446,否,是,女,D,59,1,无,0,0,1
2023-01-30,ZVDZ1365626,直播下单,QZ716564,否,是,女,C,79,2,有,0,0,1
2023-01-30,XLQW3422074,店铺下单,RI469353,是,否,男,C,79,1,无,0,1,1
2023-01-30,RDZS8545413,店铺下单,QY962105,否,否,女,A,119,4,无,0,0,1
2023-01-30,HFIH3818635,直播下单,GD632097,否,是,女,D,59,1,无,0,0,0
2023-01-30,UUTA8014358,直播下单,SQ934743,否,是,女,A,119,1,无,0,0,0
2023-01-31,RSCY4350144,直播下单,MQ534802,是,否,女,A,119,1,无,0,0,1
2023-01-31,WCFA716160,店铺下单,TY91913,是,否,女,D,59,1,无,0,0,0
2023-01-31,COUR5901510,店铺下单,CD109048,是,否,女,A,119,2,无,0,0,1
2023-01-31,MEZS3923844,店铺下单,TQ765700,否,是,男,C,79,1,有,0,0,0
2023-01-31,KKRE3114961,直播下单,MW195305,是,否,女,D,59,1,有,0,0,0
2023-01-31,MOUG9970005,直播下单,DD226193,否,否,女,D,59,1,无,0,0,1
2023-01-31,LCEV4076998,店铺下单,ET683451,是,否,女,A,119,1,无,0,0,1
2023-01-31,NQYO1631870,店铺下单,EY128203,否,否,女,D,59,1,有,1,0,1
2023-02-01,YJPF2801781,店铺下单,PD511116,是,否,女,A,119,1,无,0,0,1
2023-02-01,BMFT3688480,直播下单,XT291225,否,是,女,A,119,1,无,0,0,1
2023-02-01,ZRAR6406627,店铺下单,HW488122,是,否,女,A,119,1,无,0,0,1
2023-02-01,ZHKX1894412,店铺下单,EW587194,否,是,女,A,119,1,无,0,0,1
2023-02-01,GFZS3128030,店铺下单,DZ862318,是,否,女,B,199,1,无,0,0,0
2023-02-02,PKKN3201066,店铺下单,LV301221,否,是,女,D,59,1,无,0,0,1
2023-02-02,JSAI2645128,店铺下单,OD119273,是,否,女,B,199,1,无,0,0,1
2023-02-02,FZFD7722965,直播下单,PN380992,否,是,女,D,59,1,无,0,0,1
2023-02-02,KNYH318879,店铺下单,ER544416,是,否,男,B,199,1,无,0,0,1
2023-02-02,FFVR7254839,店铺下单,LC797677,否,是,女,C,79,1,无,0,0,1
2023-02-02,SMCI3495034,店铺下单,NJ591088,是,否,女,A,119,1,无,0,0,0
2023-02-02,CPGL9893494,店铺下单,BB572295,否,是,女,C,79,1,无,0,0,1
2023-02-02,CTTT8880912,店铺下单,BC256088,否,是,女,A,119,2,有,0,0,1
2023-02-02,DLXN3217385,店铺下单,FY42060,否,否,女,D,59,1,无,0,0,1
2023-02-02,VUYJ4045226,店铺下单,LO206388,否,否,女,D,59,1,无,0,0,1
2023-02-02,SVAX636906,直播下单,DQ445003,否,是,女,C,79,1,无,0,1,1
2023-02-03,BWPC3123552,店铺下单,OT519872,否,否,女,C,79,1,无,0,1,1
2023-02-03,DBME2636510,店铺下单,GM685927,是,否,女,D,59,1,无,0,0,0
2023-02-03,NMPA8893651,店铺下单,HW478506,是,否,女,A,119,1,无,0,0,1
2023-02-03,LKRW5440436,直播下单,PU745690,否,是,女,A,119,1,有,0,0,0
2023-02-03,YXCH9145712,店铺下单,ZX626454,否,是,女,D,59,2,无,0,0,0
2023-02-03,NZNV4720542,店铺下单,SP452084,否,是,男,A,119,1,无,0,0,0
2023-02-03,JSIO6382428,店铺下单,ED337339,是,否,女,D,59,1,无,0,0,1
